"%s was added to your shopping cart.","%s bol úspešne pridaný do vášho nákupného košíka."
"%s was updated in your shopping cart.","%s bol úspešne pridaný do vášho nákupného košíka."
"* Required Fields","* Povinne vyplnené polia"
"Items Before","Položky pred"
"Load customer quote error","Chyba pri nahrávaní zákazníckycych obmedzení"
"Loading next step...","Načítavam ďalší krok..."
"Login","Prihlásiť sa"
"Login/Registration Before","Prihlásenie/registrácia pred"
"Manage Checkout Terms and Conditions","Spravovať podmienky platieb"
"Maximum Display Recently Added Item(s)","Maximálne zobrazovať posledne pridaných položiek"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximálne množstvo povolené pre odosielanie na viaceré adresy je %s"
"Move to Wishlist","Presunúť do Zoznamu prianí"
"Multishipping Checkout","Pokladňa pre viacero adries"
"Multishipping Checkout Address (Any) Form","Doručenie na viacero adries"
"Multishipping Checkout Billing Address Creation","Doručenie na viacero adries, vytvorenie fakturačnej adresy"
"Multishipping Checkout Billing Address Edit Form","Doručenie na viacero adries, upravenie fakturačnej adresy"
"Multishipping Checkout Billing Address Selection","Doručenie na viacero adries, výber fakturačnej adresy"
"Multishipping Checkout Billing Information Step","Doručenie na viacero adries, Krok informácie o fakturácii"
"Multishipping Checkout Customer Address Edit Form","Doručenie na viacero adries, zákaznícka adresa"
"Multishipping Checkout Overview","Prehľad doručení na viacero adries"
"Multishipping Checkout Shipping Address Creation","Doručenie na viacero adries, vytvorenie adresy doručenia"
"Multishipping Checkout Shipping Address Edit Form","Doručenie na viacero adries, úprava adresy doručenia"
"Multishipping Checkout Shipping Address Selection","Doručenie na viacero adries, výber adresy doručenia"
"Multishipping Checkout Shipping Information Step","Doručenie na viacero adries, Krok informácie o doručení"
"Multishipping Checkout Success","Doručenie na viacero adries - Úspech"
"My Cart","Môj košík"
"My Cart (%s item)","Môj Košík (%s položka)"
"My Cart (%s items)","Môj Košík (%s položiek)"
"My Cart Link","Odkaz na Môj Košík"
"New Address","Nová adresa"
"New Condition","Nové pravidlo"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","OBJEDNÁVKA SPOLU sa zobrazí pred stlačením tlačítka OBJEDNAŤ"
"One Page Checkout","Jednostránková platba"
"One Page Checkout Failure","Jednostránková platba - Chyba"
"One Page Checkout Overview","Jednostránková platba - Prehľad"
"One Page Checkout Success","Jednostránková platba - Úspech"
"One item of products do not have identifier or sku","Jeden z produktov nemá identifikačný kód alebo sku"
"One item of products is not belong any of quote item",""
"Order #","Objednávka č. #"
"Order Review","Súhrn objednávky"
"Order Success","Úspešne objednané"
"Order place error.","Chyba pri odeslaní objednávky."
"Other Items in Your Order","Dalšie položky vo Vašej objednávke"
"Overview Items After","Zobrazit položky po"
"Password","Heslo"
"Payment Failed Email Reciever","Príjemca emailu ""platba se nezdarila"""
"Payment Failed Email Sender","Odesielateľ emailu ""platba se nezdarila"""
"Payment Failed Emails","Email ""platba se nezdarila"""
"Payment Failed Template","Šablona ""platba se nezdarila"""
"Payment Information","Platobné informácie"
"Payment Method","Platobná metóda"
"Payment Methods After Checkout Button","Platobné metódy po stisknutí tlačítka K pokladni"
"Payment Methods Before Checkout Button","Platobné metódy pred tlačítkom K pokladni"
"Payment method information","Platobné údaje"
"Payment method is not defined","Platobná metóda nie je definovaná"
"Payment methods in shopping cart","Platobné metódy v nákupnom košíku"
"Payment profile # %s: ""%s"".","Platebný profil # %s: ""%s""."
"Place Order","ODOSLAŤ - Objednávka s nutnosťou platby"
"Please agree to all Terms and Conditions before placing the order.","Prosím potvrďte podmienky pred umiestnením objednávky."
"Please agree to all Terms and Conditions before placing the orders.","Prosím potvrďte podmienky pred umiestnením objednávok."
"Please agree to all the terms and conditions before placing the order.","Prosím potvrďte podmienky pred umiestnením objednávky."
"Please log in below:","Prihláste sa prosím dolu:"
"Please select region, state or province","Vyberte prosím región, štát alebo provinciu"
"Please select shipping address for applicable items","Vyberte prosím doručovaciu adresu pre platné položky"
"Please select shipping methods for all addresses","Vyberte prosím spôsob dodávky pre všetky adresy"
"Price","Cena"
"Proceed to Checkout","K pokladni"
"Product","Produkt"
"Product Name","Názov produktu"
"Products","Produkty"
"Qty","Množstvo"
"Qty:","Množstvo:"
"Quantity was recalculated from %d to %d","Množstvo bolo prepočítané z %d na %d"
"Quote Lifetime (days)","Platnosť cenovej ponuky (dní)"
"Quote item does not exist.","Udaná cena neexistuje."
"Quote item is not found.","Udaná cena nenájdená."
"Recently added item(s)","Nedávno pridané položky."
"Register","Registrovať"
"Register and save time!","Zaregistrujte sa a ušetrite čas!"
"Register to Create an Account","Vytvoriť účet"
"Register with us for future convenience:","Registrácia prináša mnoho výhod:"
"Remove Item","Odstrániť položku"
"Remove This Item","Odstrániť položku"
"Remove coupon code from shopping cart","Odobrať kód kupónu z nákupného košíku"
"Remove item","Odstrániť položku"
"Remove product from shopping cart","Odobrať produkt z košíku"
"Remove product(s) from shopping cart","Odobrať produkt(y) z košíku"
"Retrieve information about shopping cart","Získať informácie o košíku "
"Review Order","Skontrolovať objednávku"
"Review Order - %s","Skontrolovať objednávku - %s"
"Sales","Predaje"
"Save Condition","Uložit pravidlo"
"Save in address book","Uložiť v adresári"
"See price before order confirmation.","Skontrolujte cenu pred potvrdením objednávky."
"Select Address","Vybrať adresu"
"Select Addresses","Vybrať adresy"
"Select Shipping Method","Vybrať spôsob dopravy"
"Select State/Province...","Vybrať štát/provinciu..."
"Select a billing address from your address book or enter a new address.","Vyberte fakturačnú adresu z vášho adresára alebo zadajte novú adresu."
"Select a shipping address from your address book or enter a new address.","Vyberte dodaciu adresu z vášho adresára alebo zadajte novú adresu."
"Send Payment Failed Email Copy Method","Poslat kópiu emailu ""platba se nezdarila"" na"
"Send Payment Failed Email Copy To","Poslat kópiu emailu ""platba se nezdarila"" na"
"Send To","Poslať na"
"Separate by "","".","Oddelené "",""."
"Set customer for shopping cart","Nastaviť zákazníka pre košík"
"Set customer's addresses in shopping cart","Nastaviť zákazníkovu adresu v košíku"
"Set payment method","Nastaviť platobnú metódu"
"Set shipping method","Nastaviť spôsob dopravy"
"Ship to Multiple Addresses","Poslať na viaceré adresy"
"Ship to different address","Poslať na inú adresu"
"Ship to this address","Poslať na túto adresu"
"Shipping Address","Dodacia adresa"
"Shipping Information","Dodacie informácie"
"Shipping Method","Spôsob dodania"
"Shipping Methods","Dodacie metódy"
"Shipping To","Dodať na"
"Shipping information","Dodacie informácie"
"Shipping method has not been selected yet","Spôsob dodania zatiaľ nebol vybraný"
"Shipping methods in shopping cart","Spôsob doručenia v košíku"
"Shipping selection is not applicable.","Vybraný spôsob doručenia nie je použitelný."
"Shopping Cart","Nákupný košík"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Postranná lišta košíku"
"Shopping Cart Sidebar Extra Actions","Extra udalosti postrannej lišty košíku"
"Shopping Cart is Empty","Nákupný košík je prázdny"
"Shopping cart ability to set coupon code","Možnosť použitia kupónu v nákupnom košíku"
"Show Content as","Zobrazit obsah ako"
"Some of the requested products are not available in the desired quantity.","Niektoré produkty nie sú k dispozícii v požadovanom množstve"
"Some of the requested products are unavailable.","Niektoré požadované produkty nie sú k dispozícii"
"Some products quantities were recalculated because of quantity increment mismatch","Množstvo niektorých výrobkov bolo prepočítané, pretože množstvo neodpovedalo"
"Sorry, no quotes are available for this order at this time.","Ľutujeme, pre túto objednávku teraz nie sú k dispozici žiadne ponuky."
"State/Province","Štát/Kraj"
"Status","Stav"
"Store View","Zobrazenie obchodu"
"Street Address","Ulica"
"Street Address %s","Ulica %s"
"Submitting order information...","Zasielam informácie o objednávke..."
"Subtotal","Medzisúčet"
"Telephone","Telefón"
"Terms and Conditions","Pravidlá a podmienky"
"Terms and Conditions Information","Informácie o podmienkách"
"Terms and conditions","Pravidlá a podmienky"
"Text","Text"
"Thank you for your purchase!","Ďakujeme za váš nákup!"
"The condition has been deleted","Podmienka bola úspešne zmazaná."
"The condition has been saved.","Podmienka bola úspešne uložená."
"The onepage checkout is disabled.","Ospravedlňujeme sa, jednostránkové platby sú vypnuté."
"The product could not be found.","Produkt nenájdený."
"The product does not exist.","Produkt neexistuje."
"There are <a href=""%s"">%s items</a> in your cart.","Počet položiek: <a href=""%s""><strong>%s (zobraziť)</strong></a>"
"There is <a href=""%s"">1 item</a> in your cart.","V košíku je <a href=""%s""><strong>jedna položka</strong></a>"
"There was an error processing your order. Please contact us or try again later.","Vyskytla sa chyba pri spracovaní vašej objednávky. Prosím, kontaktujte nás alebo skúste neskôr."
"This condition no longer exists.","Tato podmienka už neexistuje."
"Total","Celkom"
"Total for this address","Celkom pre túto adresu"
"Unable to set Payment Method.","Nedá sa zvoliť platebnú metódu."
"Unit Price","Jednotková cena"
"Update Cart","Aktualizovať košík"
"Update Qty &amp; Addresses","Aktualizovať množstvo a adresy"
"Update Shopping Cart","Aktualizovať nákupný košík"
"Update Total","Prepočítať celkovú sumu"
"Update product quantities in shopping cart","Aktualizovať množstvo v košíku"
"Update product(s) quantities in shopping cart","Aktualizovať množstvo produktov v košíku"
"Use Billing Address","Použiť túto adresu aj ako fakturačnú"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vašu objednávku spracovávame a vy čoskoro dostanete e-mail s detailami vašej objednávky. Keď bude objednávka odoslaná dostanete ďalší e-mail s linkom na sledovanie priebehu jej vybavenia."
"What's this?","Čo je to?"
"You have no items in your shopping cart.","V košíku nie sú žiadne položky."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Dostanete e-mail s potvrdením objednávky vrátane jej detailov a odkazu na sledovanie jej priebehu."
"Your Checkout Progress","Priebeh dokončenia vašej objednávky"
"Your billing agreement # is: %s.","Vaše číslo platby #: %s."
"Your order # is: %s.","Vaša objednávka č. je: %s"
"Your order has been received","Vaša objednávka bola zadaná"
"Your order number is ","Číslo Vašej objednávky je "
"Your recurring payment profiles:","Váš profil opakujících sa platieb:"
"Zip/Postal Code","PSČ"
"osCommerce Orders","Objednávky osCommerce"
