"%s","%s"
"%s already exist.","%s už existuje."
"%s already exists.","%s už existujú."
"-- Please Select --","-- Prosím vyberte --"
"#~ ""Before modifying the website code please make sure that it is not used in ""#~ ""index.php.""","#~ ""Pred zmenou kódu stránky sa prosím uistite, že nie je použitý v index.php"""
"Block with name ""%s"" already exists","Blok s menom ""%s"" už existuje"
"Browser Capabilities Detection","Rozpoznať možnosti prehliadača"
"CSS Settings","Nastavenie CSS"
"Cache Storage Management","Správa cache"
"#~ ""Cache storage may contain another data. Are you sure that you want flush it?""","#~ ""Cache obchodu môže obsahovať nejaké ďalšie dáta. Ste si istí, že ju chcete ""#~ ""vyčistiť?"""
"Can't retrieve request object","Nemožno získať požadovaný objekt"
"Cancel","Zrušiť"
"Cannot complete this operation from non-admin area.","Túto operáciu nemožno dokončiť z inej ako admin sekcie."
"Cannot retrieve entity config: %s","Nemôžem získať nastavenie entity: %s"
"Card type does not match credit card number","Typ karty neobsahuje číslo kreditnej karty"
"Code","Kód"
"Controller file was loaded but class does not exist","Kontrolný súbor bol načítaný, ale trieda neexistuje"
"Cookie Domain","Doména cookie"
"Cookie Lifetime","Životnosť Cookie"
"Cookie Path","Cesta Cookie"
"Copyright","Copyright"
"Countries Options","Nastavenie krajiny"
"Create Store","Vytvoriť obchod"
"Create Store View","Vytvoriť zobrazenie obchodu"
"Create Website","Vytvoriť webstránku"
"Credit card number does not match credit card type","Číslo kreditnej karty nezodpovedá typu kreditnej karty"
"Current Package Name","Názov aktuálneho balíka"
"Custom Admin URL","Vlastné url administrácie"
"Custom Design","Užívateľský vzhľad"
"Custom Email 1","Vlastný email 1"
"Custom Email 2","Vlastný email 2"
"Custom Variables","Vlastné premenné"
"Customer Support","Zákaznícka podpora"
"Date From","Dátum od"
"Date To","Dátum do"
"Date/time format ""%s"" is not supported.","Formát dátumu/času ""%s"" nie je podporovaný."
"Debug","Ladenie(debug)"
"Default","Predvolený"
"Default Country","Predvolená krajina"
"Default Description","Predvolený popis"
"Default Keywords","Predvolené kľúčové slová"
"Default No-route URL","Predvolená no-route URL"
"Default Pages","Predvolené strany"
"Default Robots","Predvolený roboti(Robots)"
"Default Store","Predvolený obchod"
"Default Store View","Predvolené zobrazenie obchodu"
"Default Title","Predvolený nadpis"
"Default Web URL","URL predvolenej stránky"
"Delete","Zmazať"
"Delete Store","Zmazať obchod"
"Delete Store View","Zmazať zobrazenie obchodu"
"Delete Website","Zmazať webstránku"
"#~ ""Deleting a %1$s will not delete the information associated with the %1$s ""#~ ""(e.g. categories, products, etc.), but the %1$s will not be able to be ""#~ ""restored. It is suggested that you create a database backup before deleting ""#~ ""the %1$s.""","#~ ""Zmazaním %1$s sa nezmažú informácie asociované s %1$s (napr. produkty, ""#~ ""kategórie, atď.), ale %1$s nebude môcť byť obnovený. Doporučujeme vytvorenie ""#~ ""zálohy databázy pred zmazaním %1$s."""
"Design","Vzhľad"
"Design Change","Zmena vzhľadu"
"Developer","Vývojár"
"Developer Client Restrictions","Vývojovárske obmedzenia"
"Disable Email Communications","Vypnúť emailovú komunikáciu"
"Disable Modules Output","Vypnúť výstup modulu"
"Display Demo Store Notice","Zobraziť upozornenie na demo obchod"
"Duplicate Of Template Name","Skopírovať zo šablóny"
"Edit Design Change","Upraviť zmenu vzhľadu"
"Edit Store","Upraviť obchod"
"Edit Store View","Upraviť zobrazenie obchodu"
"Edit Website","Upraviť webstránku"
"Empty identifier field name","Názov prázdneho identifikátora poľa"
"Empty main table name","Názov prázdnej hlavnej tabuľky"
"Enable Prototype Deprecation Log","Logovať odmietnuté prototypy"
"Enabled","Povolené"
"Enabled for Admin","Povolené pre Admina"
"Enabled for Frontend","Povolené pre Frontend"
"Error in file: ""%s"" - %s","Chyba v súbore: ""%s"" - %s"
"Error: Passwords do not match","Chyba: Heslá sa nezhodujú"
"Exceptions Log File Name","Meno súboru pre Log výnimky"
"First Day of Week","Prvý deň týždňa"
"Flush Cache Storage","Vyčistiť cache obchodu"
"Flush Magento Cache","Vyčistiť Magento Cache"
"Footer","Päta"
"Forgot Password Email Sender","Odosielateľ e-mailu zabudnutého hesla"
"Forgot Password Email Template","Šablóna e-mailu zabudnutého hesla"
"General","Všeobecné"
"Prices","Ceny"
"General Contact","Všeobecný kontakt"
"General Settings","Všeobecné nastavenia"
"Global","Globálne"
"HTML Head","Hlavička HTML"
"Header","Hlavička"
"Host","Hostiteľ"
"How many links to display at once.","Koľko odkazov sa má zobraziť naraz."
"ID Path for Specified Store","ID cesta pre špecifický obchod"
"#~ ""If the current frame position does not cover utmost pages, will render link ""#~ ""to current position plus/minus this value.""","#~ ""Ak sa rámec nevojde do stránky, vyrobiť odkaz na aktuálnu pozíciu plus / ""#~ ""mínus pre menenie hodnoty."""
"Incorrect credit card expiration date","Chybný dátum expirácie kreditnej karty"
"Invalid base url type","Neplatný typ základnéj URL"
"Invalid block name to set child %s: %s","Neplatné meno bloku na nastavenie potomka %s: %s"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid block: %s","Neplatný blok: %s"
"Invalid layout update handle","Neplatný manipulátor(handle) aktualizácie schémy"
"Invalid messages storage ""%s"" for layout messages initialization","Chybné úložisko správ ""%s"" pre inicializáciu správ schémy"
"Invalid transactional email code: ","Chybný kód transakčného emailu: "
"Invalid website's configuration path: %s","Chybne nastavená cesta pre webstránky: %s"
"JavaScript Settings","Nastavenie JavaScriptu"
"Layout","Schéma"
"Leave empty for access from any location.","Nechať prázdne pre prístup z akéhokoľvek miesta"
"Locale","Miesto a jazyk"
"Locale Options","Vlastnosti miesta"
"Log Settings","Nastavenie logovania"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Záznamy z Mage::log(). Súbor je umiestnený v {{base_dir}}/var/log"
"#~ ""Logging from Mage::logException(). File is located in {{base_dir}}/var/log""","#~ ""Logované z Mage::logException(). Súbor je umiestnený v {{base_dir}}/var/log"""
"Login is Case Sensitive","Prihlasovanie rozlišuje veľkosť písmen"
"Logo Image Alt","Alternatívny text k obrázku loga"
"Logo Image Src","Zdroj obrázku loga"
"Mail Sending Settings","Nastavenie odosielania emailov"
"#~ ""Make sure that base URL ends with '/' (slash), e.g. ""#~ ""http://yourdomain/magento/""","#~ ""Prosím uistite sa, že predvolené URL končí '/' (lomkou), napr. ""#~ ""http://yourdomain/magento/"""
"Manage Stores","Spravovať obchody"
"Match expressions in the same order as displayed in the configuration.","#~ ""Výrazy sú vyhodnocované v rovnakom poradí ako sú zobrazené v konfigurácii."""
"Maximum length exceeded.","Prekročená maximálna dĺžka."
"Merge CSS Files (beta)","Zlúčiť CSS súbory (beta)"
"Merge JavaScript Files","Zlúčiť JavaScript súbory"
"Miscellaneous HTML","Rôzne HTML"
"Miscellaneous Scripts","Rôzne skripty"
"Model class does not exist: %s.","Trieda modelu neexistuje: %s."
"Model collection resource name is not defined.","Názov modelu kolekcie zdrojov nie je definovaný."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" nesmie byť závislý na ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" vyžaduje modul ""%2$s""."
"Name","Meno"
"New Design Change","Nová zmena vzhľadu"
"New Store","Nový obchod"
"New Store View","Nové zobrazenie obchodu"
"New Website","Nová webstránka"
"No","Nie"
"Package","Balík"
"Pagination","Stránkovanie"
"Pagination Frame","Blok stránkovania"
"Pagination Frame Skip","Preskočiť blok stránkovania"
"Please choose to register or to checkout as a guest","Prosím zaregistrujte sa, alebo pokračujte ako hosť"
"Please define flag code.","Prosím definujte označenie kódu."
"Please enter 6 or more characters.","Zadajte prosím 6 a viac znakov."
"#~ ""Please enter 6 or more characters. Leading or trailing spaces will be ""#~ ""ignored.""","#~ ""Zadajte prosím 6 a viac znakov. Počiatočné a koncové medzery budú ""#~ ""ignorované."""
"Please enter a number greater than 0 in this field.","Do tohto poľa zadajte prosím číslo vyššie než 0."
"Please enter a valid $ amount. For example $100.00.","Zadajte prosím platnú sumu, napríklad $100.00."
"#~ ""Please enter a valid URL. For example http://www.example.com or ""#~ ""www.example.com""","#~ ""Zadajte prosím platné URL. Napríklad http://www.example.com alebo ""#~ ""www.example.com"""
"Please enter a valid URL. http:// is required","Zadajte prosím platné URL, vyžaduje sa http://"
"Please enter a valid credit card number.","Zadajte prosím platné číslo kreditnej karty."
"Please enter a valid credit card verification number.","Zadajte prosím platné overovacie číslo kreditnej karty."
"Please enter a valid date.","Zadajte prosím platný dátum."
"Please enter a valid email address. For example johndoe@domain.com.","Zadajte prosím platnú e-mailovú adresu. Napríklad johndoe@domain.com."
"Please enter a valid number in this field.","Zadajte prosím do tohto poľa platné číslo."
"#~ ""Please enter a valid phone number. For example (123) 456-7890 or ""#~ ""123-456-7890.""","Zadajte prosím platné telefónne číslo, napríklad +421 905 123456."
"Please enter a valid social security number. For example 123-45-6789.","Zadajte prosím platné číslo sociálneho poistenia, napríklad 123-45-6789"
"Please enter a valid zip code.","Zadajte prosím platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ, na príklad 90602."
"Please enter valid password.","Zadajte prosím platné heslo."
"#~ ""Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex ""#~ ""or 50%""","#~ ""Zadajte prosím platnú veľkosť pre CSS. Napríklad 100px, 77pt, 20em, .5ex ""#~ ""alebo 50%"""
"Please make sure your passwords match.","Uistite sa prosím, že sa heslá zhodujú."
"Please select State/Province.","Vyberte prosím štát/kraj."
"Please select an option.","Vyberte prosím niektorú možnosť."
"Please select one of the above options.","Vyberte prosím jednu z horeuvedených možností."
"Please select one of the options.","Vyberte prosím jednu z možností."
"Please specify either a category or a product, or both.","Uveďte prosím buď kategóriu alebo produkt, alebo oboje."
"Please specify payment method.","Vyberte prosím spôsob platby."
"Please specify shipping method.","Vyberte prosím spôsob doručenia."
"Please use letters only (a-z or A-Z) in this field.","V tomto poli prosím použite iba písmená (a-z alebo A-Z)."
"Please use letters only (a-z) in this field.","V tomto poli prosím použite iba písmená (a-z)."
"#~ ""Please use numbers only in this field. please avoid spaces or other ""#~ ""characters such as dots or commas.""","#~ ""Pre toto pole používajte prosím iba číslice. Vyhnite sa medzerám alebo iným ""#~ ""znakom ako bodkám či čiarkam."""
"#~ ""Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in ""#~ ""this field, first character must be a letter.""","#~ ""V tomto poli prosím použite iba písmená (a-z alebo A-Z), číslice (0-9) alebo ""#~ ""podčiarkovníky (_), prvý znak musí byť písmeno."""
"#~ ""Please use only letters (a-z) or numbers (0-9) only in this field. No spaces ""#~ ""or other characters are allowed.""","#~ ""Pre toto pole používajte prosím iba písmená (a-z) alebo číslice (0-9). ""#~ ""Medzery či iné znaky nie sú povolené."""
"#~ ""Please use only letters (a-z) or numbers (0-9) or spaces and # only in this ""#~ ""field.""","#~ ""Pre toto pole používajte prosím iba písmená (a-z), číslice (0-9), medzery ""#~ ""alebo #."""
"#~ ""Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, ""#~ ""first character should be a letter.""","#~ ""Pre toto pole používajte prosím iba písmená (a-z), číslice (0-9) alebo ""#~ ""podtrhovník (_), prvý znak by malo byť písmeno."""
"#~ ""Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th ""#~ ""of March, 2006.""","#~ ""Používajte prosím tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre ""#~ ""17. marec 2006."""
"Please wait, loading...","Čakajte prosím, nahrávam..."
"Polls","Ankety"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Redirect to Base URL if requested URL doesn't match it","Presmerovať na predvolenú adresu ak požadovaná adresa nie je nájdená"
"Request Path for Specified Store","Požadovaná cesta pro určitý obchod"
"Requested invalid store ""%s""","Vyžadovaný neplatný obchod ""%s"""
"Resource is not set.","Zdroj nie je nastavený."
"Return-Path Email","Spiatočná emailová adresa"
"Root Category","Hlavná kategória"
"Sales Representative","Obchodný zástupca"
"Save","Uložiť"
"Save Store","Uložit obchod"
"Save Store View","Uložit zobrazenie obchodu"
"Save Website","Uložiť webstránku"
"Search Engines Optimization","Optimalizácia pre vyhľadávače"
"Secure","Zabezpečené"
"Security","Zabezpečenie"
"Select Date","Vybrať dátum"
"Sender Email","Odosielateľ emailu"
"Sender Name","Meno odosielateľa"
"Services","Služby"
"Session Cookie Management","Správa relácií cookie"
"Session Lifetime (seconds)","Životnosť session v sekundách"
"Session Validation Settings","Nastavenie overenia Session"
"Set Return-Path","Nastavenie spiatočnej cesty"
"Set as Default","Nastaviť ako predvolené"
"Skin (Images / CSS)","Vzhľad (obrázky/CSS)"
"Sort Order","Poradie objednávok"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Špecifikovaný dátum/čas ""%1$s"" nesmie obsahovať ""%2$s""."
"Start date cannot be greater than end date.","Počiatočný dátum nemôže byť vyšší než konečný dátum"
"Startup Page","Úvodná stránka"
"Status","Stav"
"Store","Obchod"
"Store Contact Address","Kontaktná adresa obchodu"
"Store Contact Information","Informácie o obchode"
"Store Contact Telephone","Kontaktný telefón obchodu"
"Store Email Addresses","E-mailové adresy obchodu"
"Store Information","Informácie o obchode"
"Store Name","Názov obchodu"
"Store View","Zobrazenie obchodu"
"Store View Information","Informácie o zobrazení obchodu"
"Store View Name","Názov zobrazenia obchodu"
"Store view doesn't exist","Zobrazenie obchodu neexistuje"
"Store with the same code","Obchod s rovnakým kódom"
"System","Systém"
"System Log File Name","Meno súboru systémových logov"
"Template Path Hints","Nápovedy pre cesty šablón"
"Template Variables","Premenné šablóny"
"Templates","Šablóny"
"#~ ""The %s you entered is invalid. Please make sure that it follows ""#~ """"http://domain.com/"" format.""","#~ ""%s ktoré ste zadali je nesprávne. Prosím uistite sa, že je v nasledujúcom ""#~ ""formáte ""http://domena.sk/""."""
"The model collection resource name is not defined.","Názov modelu kolekcie zdrojov nie je definovaný."
"#~ ""The store code may contain only letters (a-z), numbers (0-9) or ""#~ ""underscore(_), the first character must be a letter""","#~ ""Kód obchodu môže obsahovať len znaky (a-z), čísla (0-9) alebo znak ""#~ ""podčiarknutia(_), prvý znak musí byť písmeno."""
"The store does not exist","Obchod neexistuje"
"The store has been deleted.","Obchod bol úspešne zmazaný."
"The store has been saved.","Obchod bol úspešne uložený."
"The store view has been deleted.","Zobrazenie obchodu bolo úspešne zmazané."
"The store view has been saved","Zobrazenie obchodu bolo úspešne uložené"
"The template Name must not be empty.","Meno šablóny nesmie byť prázdne."
"The website does not exist.","Webstránky neexistujú."
"The website has been deleted.","The website has been deleted."
"The website has been saved.","Webstránky boli úspešne vymazané."
"Themes","Témy"
"This category and all its child elements","Táto kategória a všetci jej nasledovníci"
"This category and its child categories only","Iba túto kategóriu a jej nasledovníkov"
"This category and its products only","Iba túto kategóriu a jej produkty"
"This category only","Iba táto kategória"
"This date is a required value.","Tento dátum je vyžadovaný."
"This is a required field.","Toto pole je povinné."
"This store cannot be deleted.","Tento obchod nemôže byť zmazaný."
"This store view cannot be deleted.","Toto zobrazenie obchodu nemôže byť zmazané."
"This website cannot be deleted.","Tieto webstránky nemôžu byť zmazané."
"This will be displayed just before body closing tag.","Toto bude zobrazené pred uzatváracou značkou BODY."
"This will be included before head closing tag in page HTML.","Toto bude vložené pred uzatvárací tag HEAD v stránke HTML."
"Timezone","Časová zóna"
"Title Prefix","Nadpis predpôn"
"Title Suffix","Nadpis prípon"
"Translate Inline","Online preklady"
"#~ ""Translate cache should be disabled for both frontend and admin inline ""#~ ""translations.""","Translate cache by mala byť pri inline prekladoch vypnutá."
"Translations","Preklady"
"Unable to delete store view. Please, try again later.","Nemožno zmazať zobrazenie obchodu. Prosím skúste to neskôr."
"Unable to delete store. Please, try again later.","Nemožno zmazať obchod. Prosím skúste to neskôr."
"Unable to delete website. Please, try again later.","Nemožno zmazať webstránky. Prosím skúste to neskôr."
"Unable to proceed. Please, try again","Nemožno pokračovať. Prosím skúste to znova."
"Unable to proceed. Please, try again.","Nemožno pokračovať. Prosím skúste to znova."
"Unknown scope ""%s"".","Neznámý rozsah ""%s""."
"Unsecure","Nezabezpečené"
"Url Options","Možnosti URL"
"Use Custom Admin URL","Použiť vlastné URL administrácie"
"Use HTTP Only","Použiť iba HTTP"
"Use SID on Frontend","Použiť SID pre Frontend"
"Use Secure URLs in Admin","Použiť zabezpečené URL v administrácii"
"Use Secure URLs in Frontend","Použiť zabezpečenú URL pre Obchod"
"Use Web Server Rewrites","Server používá Rewrites"
"Validate HTTP_USER_AGENT","Overiť HTTP_USER_AGENT"
"Validate HTTP_VIA","Overiť HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Overiť HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Overiť REMOTE_ADDR"
"Validation has failed.","Overenie zlyhalo."
"#~ ""Values less than 60 are ignored. Note that changes will apply after logout.""","#~ ""Hodnoty nižšie ako 60 sú ignorované. Prosím pamätajte, že zmeny sa prejavia ""#~ ""až po Vašom odhlásení."""
"Variable Code must be unique.","Kód premennej musí byť unikátny."
"Web","Web"
"Website","Webstránka"
"Website Information","Informácie o webstránke"
"Website Name","Názov webstránky"
"#~ ""Website code may only contain letters (a-z), numbers (0-9) or underscore(_), ""#~ ""the first character must be a letter""","#~ ""Kód webstránky môže obsahovať iba písmená (a-z), číslice (0-9) alebo ""#~ ""podtrhovník (_), prvý znak musí byť písmeno"""
"Website with the same code","Webstránky s rovnakým kódom"
"Weekend Days","Víkendové dni"
"Welcome Text","Uvítací text"
"Wrong number of arguments for %s","Zlý pročet parametrov pre %s"
"Yes","Áno"
"#~ ""Your design change for the specified store intersects with another one, ""#~ ""please specify another date range.""","#~ ""Vaša zmena grafiky pre vybraný obchod je v rozpore s iným pravidlom. Prosím ""#~ ""vyberte iný rozsah dáta."""
"#~ ""Your order cannot be completed at this time as there is no payment methods ""#~ ""available for it.""","#~ ""Vaša objednávka momentálne nemôže byť dokončená, pretože nie je dostupná ""#~ ""metóda platenia."""
"#~ ""Your order cannot be completed at this time as there is no shipping methods ""#~ ""available for it. Please make necessary changes in your shipping address.""","#~ ""Vaša objednávka nemôže byť momentálne dokončená, pretože pre ňu nie je ""#~ ""dostupná metóda doručenie. Vykonajte prosím potrebné zmeny v adrese ""#~ ""doručenia."""
"Your session has been expired, you will be relogged in now.","Vaša session vypršala, musíte sa znova prihlásiť."
"Tier Price","Množstevné zľavy"
