"# of Use","# počet použití"
"%1$s incl tax.","%1$s s daňou."
"%s - %s","%s - %s"
"%s and above","%s a viac"
"%s Item(s)","položiek: %s"
"An error occurred while removing products from websites.","Chyba pri odstraňovaní produktov."
"An error occurred while saving the URL rewrite","Došlo k chybe pri ukladaní prepisovateľnú adresy (rewrite) URL"
"An error occurred while saving the attribute set.","Chyba pri ukladaní množiny atribútov."
"An error occurred while saving the product. ","Chyba pri ukladaní produktu. "
"An error occurred while saving the search query.","Chyba pri ukladaní dotazu pre vyhľadávanie."
"An error occurred while saving this group.","Chyba pri ukladaní skupiny."
"An error occurred while trying to delete the category.","Chyba pri snahe o zmazanie kategórie."
"An error occurred while updating the product(s) attributes.","Chyba pri upravovaní atribútu produktu."
"An error occurred while updating the product(s) status.","Chyba pri upravovaní atribútu stavu produktu."
"An invalid group ID is specified, skipping the record.","Bolo vybrané neplatné ID skupiny, záznam bol vynechaný."
"An invalid option ID is specified for %s (%s), skipping the record.","Bolo špecifikované neplatné id voľby pre %s (%s), záznam vynechaný."
"An invalid store was specified.","Chybne špecifikovaný obchod."
"Anchor Custom Text","Vlastný text kotvy"
"Anchor Custom Title","Vlastný nadpis kotvy"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Použiť MAP (základná hodnota)"
"Apply To","Použiť na"
"Approved","Schválený"
"Are you sure you want to delete this category?","Ste si istí, že chcete zmazať túto kategóriu?"
"Are you sure you would like to remove all products from your comparison?","Ste si istí, že chcete odstrániť všetky položky k porovnaniu?"
"Are you sure you would like to remove this item from the compare products?","Ste si istí, že chcete odstrániť túto položku z porovnávaných produktov?"
"Are you sure?","Ste si istí?"
"As low as:","Už od:"
"Assign","Priradiť"
"Assign product link","Odkaz na priradený produkt"
"Assign product to category","Zaradiť produkt do kategórie"
"Assigned Products","Priradené produkty"
"Associated Products","Súvisiace produkty"
"Attrib. Set Name","Názov množiny vlastností"
"Attribute ""%s"" is invalid.","Vlastnosť ""%s"" je neplatná."
"Attribute ""%s"" is required.","Vlastnosť ""%s"" je vyžadovaná."
"Attribute Information","Informácia o vlastnosti"
"Attribute Model","Model vlastností"
"Attribute Name:","Názov vlastnosti:"
"Attribute Set","Sada vlastností"
"""Attribute group with the \""/name/\"" name already exists""","""Skupina vlastností s menom \""/name/\"" už existuje"""
"Attribute with the same code already exists","Vlastnosť s rovnakým kódom už existuje"
"Attributes","Vlastnosti"
"Attrribute names can be specified per store.","Vlastnosť meno môže byť špecifické pre každý obchod."
"Autogenerate","Vygenerovať automaticky"
"Availability:","Dostupnosť:"
"Back","Späť"
"Backend Model","Model backend-u"
"Backend Table","Tabuľka backend-u"
"Backend Table Title","Nadpis tabuľky backend-u"
"Backorders","Spätné objednávky"
"Based On","Založené na"
"Before Order Confirmation","Pred potvrdením objednávky"
"Best Value","Najlepšia hodnota"
"Block after Info Column","Blok za informačnom stĺpcom"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Dolu/Vľavo"
"Bottom/Right","Dolu/Vpravo"
"Browse By","Prehľadávať podľa"
"Bundle Items","Položky balenia"
"Buy %1$s","Kúpiť %1$s"
"Buy %1$s for","Kúpiť %1$s za"
"*Buy %1$s for %2$s","Kúpiť %1$s za %2$s kus"
"Buyy %1$s","Od %1$s ks"
"for %1$s each","za %1$s kus"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kúpiť %1$s za %2$s (%3$s s daňou) kus"
"Buy %1$s for %2$s each","Kúpiť %1$s za %2$s kus"
"Buy %1$s with %2$s discount each","Kúpiť %1$s za %2$s kus"
"Cache Lifetime (Seconds)","Životnosť cache (v sekundách)"
"Cache refresh needed.","Je potreba obnoviť Cache."
"Can be used only with catalog input type Dropdown","Môže byť použité iba s katalógovým vstupom typu ""rozbaľovacie menu"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Môže byť použité iba s katalógovým vstupom typu rozbaľovacie menu, Viacnásobný výber a Cena"
"Can't create image.","Nie je možne vytvoriť obrázok."
"Cancel","Zrušiť"
"Cannot create image.","Nemožno vytvoriť obrázok."
"Cannot create writeable directory '%s'.","Nemožno vyrobiť zapisovateľný adresár '%s'."
"Cart Item Attribute","Vlastnosti položky košíka"
"Catalog","Katalóg"
"Catalog Category (Anchor)","Kategória katalógu (kotva)"
"Catalog Category (Non-Anchor)","Kategória katalógu (nie je kotva)"
"Catalog Category (Without Subcategories)","Kategória katalógu (bez podkategórií)"
"Catalog Category Link","Kategória katalógu - odkaz"
"Catalog New Products List","Katalóg nových produktov"
"Catalog Price Scope","Rozsah katalógových cien"
"Catalog Product Compare List","Zoznam porovnávaných produktov"
"Catalog Product Email to a Friend","Poslať e-mailom známemu"
"Catalog Product Image Gallery Popup","Vyskakovacia obrázková galéria produktov"
"Catalog Product Link","Katalógový produkt - odkaz"
"Catalog Product View (Any)","Zobraziť všetky produkty"
"Catalog Product View (Configurable)","Zobraziť konfigurovatelné"
"Catalog Product View (Grouped)","Zobraziť skupiny produktov"
"Catalog Product View (Simple)","Zobraziť jednoduché produkty"
"Catalog Product View (Virtual)","Zobraziť virtuálne produkty"
"Catalog Section","Katalóg"
"Catalog Seo Popular Search Terms","Seo zoznam najvyhľadávanejších výrazov"
"Catalog Seo Sitemap (Category List)","Seo mapa stránok (zoznam kategórií)"
"Catalog Seo Sitemap (Category Tree)","Seo mapa stránok (strom kategórií)"
"Catalog Seo Sitemap (Common)","Spoločný Katalóg (SEO mapa)"
"Catalog Seo Sitemap (Product List)","Seo mapa produktov"
"Catalog URL Rewrites","Zoznam URL Rewrites"
"Catalog, Search","Katalóg, Vyhľadávanie"
"Categories","Kategórie"
"Categories Sitemap","Categories Sitemap"
"Category","Kategória"
"Category API","API kategorií"
"Category Data","Dáta kategórie"
"Category Flat Data","Zlúčiť dáta kategórií"
"Category Link Block Template","Šablóna bloku odkazov na kategórie"
"Category Link Inline Template","Odkaz na kategórie Inline Template"
"Category Products","Kategória produktov"
"Category Top Navigation","Navigácia kategórií"
"Category URL Suffix","Prípona URL kategórie"
"Category attributes API","API vlastností kategórií"
"Category move error","Chyba pri presune kategórie"
"Category move operation is not possible: parent category is equal to child category.","Presun kategórie nie je možný: Nadradená kategória je rovnaká ako nasledujúca kategória."
"Category move operation is not possible: the current category was not found.","Presun kategórie nie je možný. Aktuálna kategória nenájdená."
"Category move operation is not possible: the new parent category was not found.","Presun kategórie nie je možný. Nová koreňová kategórie nenájdená."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategória musí byť inštanciou Mage_Catalog_Model_Category."
"Center","Stred"
"Change","Zmeniť"
"Change or Retrieve attribute store view","Zmena alebo načítanie vlastností pohľadu obchodu"
"Change status","Zmeniť stav"
"Check items to add to the cart or","Vybrať položku pre pridanie do košíka, alebo"
"Choose an Option...","Vyberte možnosť..."
"Clear All","Vymazať všetko"
"Click for price","Kliknite pre cenu"
"Close Window","Zavrieť okno"
"Collapse All","Zbaliť všetko"
"Comma-separated.","Oddelené čiarkami."
"Comparable","Porovnateľný"
"Comparable on Front-end","Porovnateľný na Frontend-e"
"Comparable on the Frontend","Porovnateľný na Frontend-e"
"Compare","Porovnať"
"Compare Products","Porovnať produkty"
"Conditions Combination","Kombinácia podmienok"
"Configurable Product","Konfigurovateľný produkt"
"Configurable Product Settings","Nastavenie konfigurovateľných produktov"
"Configure Product","Konfigurovateľný produkt"
"Continue","Pokračovať"
"Copy From Configurable","Skopírovať z konfigurovateľný"
"Country/State","Krajina/štát"
"Create","Vytvoriť"
"Create (Upload)","Vytvoriť (Nahrať)"
"Create Empty","Vytvoriť prázdne"
"Create Permanent Redirect for old URL","Vytvoriť permanentné presmerovanie pre starú URL"
"Create Permanent Redirect for old URLs if Url key changed","Vytvoriť permanentné presmerovanie pre starú URL pokiaľ sa Url kľúč zmenil"
"Create Product Settings","Vytvoriť nastavenia produktu"
"Create Simple Associated Product","Vytvoriť jednoduchý priradený produkt"
"Create new category","Vytvoriť novú kategóriu"
"Create new product","Vytvoriť nový produkt"
"Cross-sells","Súvisiace"
"Currently Shopping by:","Nakupovať podľa:"
"Custom Design","Užívateľský vzhľad"
"Custom Options","Vlastné možnosti"
"Customer Group","Skupina zákazníkov"
"Customers Reviews","Recenzie zákazníkov"
"Customers Tagged Product","Zákaznícky popis produktu"
"Data Type for Saving in Database","Typ dát pre ukladanie do databázy"
"Date & Time Custom Options","Vlastné možnosti Dátumu a Času"
"Date Fields Order","Radenie položiek podľa dátumu"
"Date Subscribed","Predplatený od"
"Datetime","Datum a čas"
"Decimal","Desetinný"
"Declare attribute value saving scope","Rozsah deklarovaných hodnôt atribútov uložený"
"Default ""What's This"" Text Message","Základná ""Čo je to"" textová správa"
"Default Popup Text Message","Základná vyskakovacia (Popup) správa"
"Default Price","Predvolená cena"
"Default Price Navigation Step","Základná cena - krok navigácie"
"Default Qty","Predvolená Množstvo"
"Default Values","Predvolená hodnota"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definuje základný rozsah meny (""Mena Nastavenie"" > ""Mena Možnosti"" > ""Základná Mena"")."
"Delete","Zmazať"
"Delete Attribute","Zmazať vlastnosť"
"Delete Attribute Set","Zmazať množinu vlastností"
"Delete Category","Zmazať kategóriu"
"Delete Option","Zmazať možnosť"
"Delete Row","Zmazať riadok"
"Delete Search","Zmazať hľadanie"
"Delete Selected Group","Zmazať označenú skupinu"
"Delete category","Zmazať kategóriu"
"Delete product","Zmazať produkt"
"Depends on design theme","Závisí na grafickom vzhľade"
"Design","Vzhľad"
"Details","Detaily"
"Disabled","Neaktívny"
"Disallowed file type.","Nepovolený typ súboru."
"Display Actual Price","Zobraziť aktuálnu cenu"
"Display in Suggested Terms","Zobraziť v ponúkaných výrazoch"
"Double click on a group to rename it","Pre premenovanie skupiny použite dvojklik"
"Double click on above image to view full picture","Dvojklikom na obrázok ho zobrazíte v plnej veľkosti"
"Downloadable Information","Informácie na stiahnutie"
"Duplicate","Kopírovať"
"Duplicate website tier price customer group and quantity.","Duplikovať rad cien zákazníckych skupín a množstvo."
"Duplicate website, country and state tax found.","Duplicitné stránky, dane pre krajiny a stať nájdené."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Napr. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Upraviť"
"Edit Attribute Set '%s'","Upraviť množinu vlastností '%s'"
"Edit Product Attribute","Upraviť vlastnosti produktu"
"Edit Product Attribute ""%s""","Upraviť vlastnosti produktu ""%s"""
"Edit Search","Upraviť hľadanie"
"Edit Search '%s'","Upraviť hľadanie '%s'"
"Edit Set Name","Upraviť meno množiny"
"Email","E-mail"
"Email to a Friend","Poslať e-mailom známemu"
"Empty","Prázdne"
"Enable MAP","Zapnúť MAP"
"Enable Qty Increments","Povoliť Množstvo prírastkov"
"Enable WYSIWYG","Povoliť WYSIWYG"
"Enabled","Aktívny"
"Error during retrieval of option value: %s","Chyba počas príjmu hodnoty voľby: %s"
"Exclude","Vyradiť"
"Expand All","Rozbaliť všetko"
"Failed","Neúspešný"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Chyba pri kopírovaní súboru %s. Prosím, odstráňte médiá s neexistujúcimi obrázkami a skúste to znova."
"Failed to move file: %s","Chybné presúvanie súboru: %s"
"Feature Products","Hlavné produkty"
"Field is not complete","Pole nie je kompletné"
"File options format is not valid.","Formát súboru nie je povolený."
"File upload failed","Chyba pri nahrávaní súboru "
"Filter model name must be declared.","Názov modelu filtra musí byť deklarovaný"
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filtrovateľný (bez výsledkov)"
"Filterable (with results)","Filtrovateľný (s výsledkami)"
"First Name","Meno"
"Fixed","Fixný"
"For internal use.","Pre vnútorné pouzitie."
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Vlastnosti"
"Gallery","Galéria"
"General Information","Všeobecné informácie"
"Get special price","Špeciálna cena"
"Global","Globálne"
"Globally Editable","Globálne upraviteľný"
"Go to Home Page","Na hlavnú stránku"
"Grid","Tabuľka"
"Grouped Product","Skupina produktov"
"Groups","Skupiny"
"Home","Domov"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Ak ponecháte prázdne, použije sa meno kategórie"
"If empty, the Product Name will be used","Ak ponecháte prázdne, použije sa meno produktu"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Ak nešpecifikujete vlastnosť pre obchod, bude použitá predvolená hodnota."
"Image","Obrázok"
"Image content is not valid base64 data.","Obsah obrázku nemá platné dáta base64."
"Image does not exist.","Obrázok neexistuje."
"Image file was not found.","Obrázok sa nenašiel."
"Image type and information need to be specified for each store view.","Typ a informácie o obrázku musia byť špecifikované pre každý obchod."
"In Cart","V košíku"
"In Stock","Skladom"
"In stock","Skladom"
"Incl. Tax","S daňou"
"Index product and categories URL rewrites","Index produktu a kategórií URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index ceny produktu"
"Indexed category/products association","Väzby indexov kategórií/produktov"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Vstupný typ"
"Integer","Celé číslo"
"Invalid Tier Prices","Chybné zľavy"
"Invalid attribute %s","Chybná vlastnosť %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Bola špecifikovaná neplatná voľba pre atribút %s (%s), záznam vynechaný."
"Invalid attribute set specified, skipping the record.","Bola špecifikovaná neplatná sada atribútov, záznam vynechaný."
"Invalid block: %s.","Neplatný blok: %s."
"Invalid category IDs.","Chybné ID kategórie."
"Invalid category.","Chybná kategória."
"Invalid image file type.","Chybný typ obrázku."
"Invalid image type.","Chybný typ obrázku."
"Invalid option ID specified for %s (%s), skipping the record.","Chybná voľba ID špecifikovaná pre %s (%s), záznam vynechaný."
"Invalid product type specified, skipping the record.","Neplatný typ produktu, záznam vynechaný"
"Invalid store specified","Bol vybraný neplatný obchod."
"Invalid store specified, skipping the record.","Bol vybraný neplatný obchod, záznam vynechaný."
"Invalid tier prices. The product is not associated to the requested website.","Chybná zľava. Produkt nie je priradený k vyžadovanej stránke."
"Inventory","Sklad"
"Is Default","Je predvolené"
"Is Required","Je požadované"
"Items %s to %s of %s total","Položiek %s do %s z celkového počtu %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, ktoré nechcete zobrazovať v katalógu alebo vyhľadávání, musia mať v danom obchode stav 'Neaktívne'."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, ktoré nechcete zobrazovať v katalógu alebo vyhľadávání, musia mať v danom obchode stav 'Neaktívne'."
"Keep your eyes open for our special Back to School items and save A LOT!","Pozrite sa na našu špeciálnu akciu ""Späť do školy""a ušetrite!"
"Label","Nadpis"
"Last Name","Priezvisko"
"Last Notification","Posledná správa"
"Layered Navigation","Vrstvová navigácia"
"Learn More","Dozvedieť sa viac"
"Line %d, Email: %s","Riadok %d, E-mail: %s"
"Line %d, SKU: %s","Riadok %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Odkaz (Zodpovedajúci, Up sell, Cross sell)"
"Link product does not exist.","Odkaz na produkt neexistuje."
"Link to a Specified Category","Odkaz na špecifickú kategóriu."
"Link to a Specified Product","Odkaz na špecifický produkt"
"List","Zoznam"
"List Mode","Typ zoznamu"
"List of Products that are set as New","Zoznam produktov ktoré majú byť nastavené ako Novinky"
"Manage Attribute Sets","Spravovať množinu vlastností"
"Manage Attributes","Správa vlastností"
"Manage Catalog Categories","Spravovanie kategórií katalógu"
"Manage Categories","Správa kategórií"
"Manage Label / Options","Správa Nadpisov / Možností"
"Manage Options (values of your attribute)","Správa možností (hodnoty pre vlastnosti)"
"Manage Product Attributes","Správa vlastností produktu"
"Manage Product Sets","Správa množiny produktov"
"Manage Products","Správa produktov"
"Manage Stock","Správa skladu"
"Manage Titles (Size, Color, etc.)","Správa nadpisov (Velkosť, Farba, atď.)"
"Max Characters","Maximálne znakov"
"Maximal Depth","Maximálna hĺbka"
"Maximum Image Size","Maximálna veľkosť obrázka"
"Maximum Qty Allowed in Shopping Cart","Maximálne dovolené množstvo v košíku"
"Maximum image height","Maximálna výška obrázku"
"Maximum image width","Maximálna šírka obrázku"
"Maximum number of characters:","Maximálny počet znakov:"
"Media Image","Obrázok médií"
"Minimum Advertised Price","Minimálne inzerované ceny"
"Minimum Lines per Page","Minimum riadkov na stránku"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo dovolené v košíku"
"Minimum Qty for Item's Status to be Out of Stock","Minimálne množstvo pre stav Vypredané"
"Missing SKU, skipping the record.","Chýbajúce SKU, záznam vynechaný."
"More Views","Viac pohľadov"
"Move","Presunúť"
"Move category in tree","Presunúť kategóriu v strome"
"Must be in the allowed values list.","Musia byť v zozname povolených hodnôt."
"N/A","N/A"
"Name","Meno"
"Name in %s","Meno je: %s"
"New Product","Nový Produkt"
"New Product Attribute","Nová vlastnosť produktu"
"New Products","Nové produkty"
"New Products Grid Template","Nová šablóna tabuľky produktov"
"New Products List Template","Nová šablóna zoznamu produktov"
"New Root Category","Pridať novú hlavnú kategóriu"
"New Search","Nové vyhľadávanie"
"New Set Name","Nový názov množiny"
"New Subcategory","Pridať podkategóriu"
"Next","Ďalší"
"No","Nie"
"No image","Žiadny obrázok"
"No layout updates","Pohľad neaktualizovaný"
"No options of this product are available.","Tento produkt nemá žiadne dostupné možnosti."
"No product collections found.","Kolekcia produktov nenájdená."
"None","Žiadne"
"Not Visible Individually","Nezobrazovať individuálné"
"Notify Low Stock RSS","RSS pre upozornenie na nízky stav zásob"
"Notify for Quantity Below","Upozorniť pre množstvo menšie ako"
"Number of Products to Display","Počet produktov pre zobrazenie"
"Number of Uses","Počet užívateľov"
"Number of results<br/>(For the last time placed)","Počet výsledkov<br/>(Pre posledné umiestnenie)"
"OK","OK"
"OR","ALEBO"
"Old Price:","Pôvodná cena:"
"On Gesture",""
"Option validation failed to add product to cart.","Overenie vlastností zlyhalo pre pridanie produktu do košíka."
"Option:","Voľba:"
"Options Control","Nastavenie možností"
"Options is required","Nastavenie je vyžadované"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Náš zákaznický servis je dostupný 24/7. Volajte na (800) DEMO-NUMBER."
"Out of stock","Dočasne vypredané"
"PM","Odp."
"Page Title Separator","Oddeľovač nadpisu stránok"
"Parent Category","Nadradené kategória"
"Pending","Čakajúci"
"Pending Reviews RSS","RSS pre nevyriešené hodnotenie"
"Percentage","Percento"
"Please add rows to option.","Prosím pridajte riadky do možností."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosím buďte opatrní, ako raz kliknete na riadok, budú načítané dáta z vybraného súboru, všetky neuložené dáta sa stratia."
"Please click on the Close Window button if it is not closed automatically.","Prosím kliknite na X (zavrieť), ak sa okno nezavrie automaticky."
"Please enter a new group name","Zadajte nové meno skupiny"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosím obnovte ""Katalóg URL Rewrites"" ""a"" ""Vlastnosti produktu"" ""v Systém -> <a href=""""%s""""> Správa indexov </a>"""
"Please select a static block ...","Vyberte prosím statický blok ..."
"Please select items.","Označte položky."
"Please select one or more attributes.","Označte jednu alebo viac vlastností."
"Please select product(s).","Označte produkt/produkty."
"Please select products for attributes update","Označte produkty pre upravenie vlastností"
"Please specify date required option(s).","Prosím špecifikujte požadované vlastnosti dáta."
"Please specify the product required option(s)","Prosím zadajte požadované možnosť(i) produktu"
"Please specify the product required option(s).","Prosím zadajte požadované možnosť(i) produktu."
"Please specify the product's option(s).","Prosíme zadajte odtieň produktu."
"Please specify the product's required option(s).","Prosím špecifikujte požadované možnosti produktu."
"Please specify the quantity of product(s).","Prosím špecifikujte množstvo produktov."
"Please specify time required option(s).","Prosím špecifikujte čas požadovaných vlastností."
"Please wait...","Prosím čakajte..."
"Position","Pozícia"
"Position in Layered Navigation","Umiestnenie vo vrstve navigácia"
"Position of attribute in layered navigation block","Umiestnenie atribútu vo vrstve navigačného bloku"
"Prev","Predchádzajúci"
"Price","Cena"
"Price Navigation Step Calculation",""
"Price Type","Typ ceny"
"Price is not available","Cena nie je dostupná"
"Price values for options should be specified in system base currency.","Nastavenie hodnoty ceny môže byť špecifikované v systéme vo východiskovej mene."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Vytlačiť túto stránku"
"Product","Produkt"
"Product API","Produkt API"
"Product Alerts","Výstrahy pre produkt"
"Product Attribute","Vlastnosť produktu"
"Product Attributes","Vlastnosti produktu"
"Product Categories","Kategórie produktu"
"Product Description","Popis produktu"
"Product Extra Info","Extra informácie pre produkt"
"Product Flat Data","Zlúčiť dáta produktov"
"Product ID","Produkt ID"
"Product Image Placeholders","Náhrada obrázkov produktu"
"Product Image Watermarks","Vodoznak obrázkov produktu"
"Product Images","Obrázky produktov"
"Product Images API","API obrázkov produktov"
"Product In Websites","Produkt na webových stránkách"
"Product Info Column","Informačný stĺpec produktu"
"Product Information","Informácie o produkte"
"Product Link Block Template","Šablóna bloku odkazov na produkty"
"Product Link Inline Template","Šablóna vnorených odkazov na produkty"
"Product Listing Sort by","Výpis produktov radiť podľa"
"Product Name","Názov produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenzie produktov"
"Product Tags","Štítky produktu"
"Product Tier Price API","API zliav produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Pridať na koniec URL produktu"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","API množiny vlastností produktu"
"Product attributes API","API vlastností produktu"
"Product collection expected.","Bola očakávaná kolekcia produktov."
"Product is not loaded","Produkt nie je načítaný"
"Product links API (related, cross sells, up sells)","Odkazy API produktov (zodpovedajúci, cross Sells, up Sells)"
"Product name","Názov produktu"
"Product types API","API typu produktu"
"Product with this combination of attributes already associated to configurable.","Produkt s kombináciou týchto vlastností už je asociovaný s konfigurovateľnými."
"Products","Produkty"
"Products Comparison List","Zoznam porovnávaných produktov"
"Products Information","Informácie o produkte"
"Products Reviews","Recenzie produktov"
"Products Sitemap","Mapa produktov"
"Products only","Iba produkty"
"Products per Page on Grid Allowed Values","Povolené hodnoty pre tabuľku produktov na stránku"
"Products per Page on Grid Default Value","Predvolená hodnota pre počet produktov na stránke pre tabuľku"
"Products per Page on List Allowed Values","Povolené hodnoty pre zoznam produktov na stránku"
"Products per Page on List Default Value","Predvolená hodnota pre počet produktov na stránke pre zoznam"
"Properties","Vlastnosti"
"Qty","Množstvo"
"Qty Increments","Množstvo prírastkov"
"Qty Uses Decimals","Množstvo používa desatiny"
"Qty for Item's Status to become Out of Stock","Minimálne množstvo pre stav Vypredané"
"Qty:","Množstvo:"
"Quantity","Množstvo"
"Quick Create","Rýchle vytvorenie"
"Quick Overview","Rýchly prehľad"
"Quick simple product creation","Rýchle vytvorenie jednoduchého produktu"
"Records for ""","Záznamy pre """
"Redirect","Presmerovanie"
"Redirect URL","Presmerovanie URL"
"Regular Price:","Bežná cena:"
"Related Products","Súvisiace produkty"
"Remove","Odstrániť"
"Remove Product From Websites","Odstrániť produkt zo stránok"
"Remove This Item","Odstrániť túto položku"
"Remove product assignment","Odstrániť priradenie produktu"
"Remove product image","Odstrániť obrázok produktu"
"Remove product link","Odstrániť odkaz produktu"
"Reorganize EAV category structure to flat structure","Preorganizovať štruktúru EAV kategórie na štruktúru flat (zlúčené)"
"Reorganize EAV product structure to flat structure","Preorganizovať štruktúru EAV produktov na štruktúru flat (zlúčené)"
"Reset","Vynulovať"
"Results","Výsledky"
"Retrieve attribute data","Načítať dáta atribútov"
"Retrieve attribute list","Získať Zoznam vlastností"
"Retrieve attribute options","Získať možnosti vlastností"
"Retrieve categories tree","Získať strom kategórií"
"Retrieve category attributes","Získať vlastnosti kategórie"
"Retrieve category data","Získať dáta kategórie"
"Retrieve hierarchical tree","Získať hierarchický strom"
"Retrieve linked products","Získať Odkazy produktov"
"Retrieve list of assigned products","Získať zoznam priradených produktov"
"Retrieve one level of categories by website/store view/parent category","Získať jednu vrtstvu z kategórií zo stránok/obchodu pohľad/rodičovská kategória"
"Retrieve product","Načítať produkt"
"Retrieve product attribute sets","Načítať množinu vlastností produktu"
"Retrieve product image","Načítať obrázok produktu"
"Retrieve product image list","Načítať zoznam obrázkov produktu"
"Retrieve product image types","Načítať typ obrázka produktu"
"Retrieve product link type attributes","Načítať typy vlastností odkazu produktov"
"Retrieve product link types","Načítať typ odkazu produktu"
"Retrieve product tier prices","Načítať zľavy produktu"
"Retrieve product types","Načítať typy produktu"
"Retrieve products data","Načítať dáta produktu"
"Retrieve products list by filters","Načítať zoznam filtrovaných produktov"
"Reviews","Recenzie"
"Roll Over for preview","Otočiť pre náhľad"
"Root","Koreň"
