" and "," a "
"Please make sure that your changes were saved before running the profile.","Uistite sa prosím, že sú Vaše zmeny uložené pred spustením profilu."
"Please make sure your passwords match.","Uistite sa prosím, že heslá súhlasia."
"Please select State/Province.","Vyberte štát/kraj."
"Please select an option.","Vyberte prosím možnosť."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností."
"Please select one of the options.","Vyberte prosím jednu z možností."
"Please use in this field only ""a-z,0-9,_"".","V tomto poli možno použiť iba ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Použite prosím iba písmená (a-z)."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Použite prosím v tomto poli iba číslice. Vyhnite sa medzerám a ostatným znakom, ako bodky a čiarky."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tomto poli prosím použite iba písmená (a-z), alebo číslice (0-9). Nie sú povolené medzery ani iné znaky."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","V tomto poli prosím použite iba písmená (a-z), číslice (0-9), medzery, alebo #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použite prosím tento formát dátumu: dd/mm/rrrr. Napríklad 17/03/2006 pre 17. marca, 2006."
"Please wait while the indexes are being refreshed.","Prosím počkajte pokiaľ indexy budú aktualizované."
"Please wait, loading...","Čakajte prosím, načítava sa ..."
"Preset Theme",""
"Prev. month (hold for menu)","Predchádzajúci mesiac (podržte pre menu)"
"Prev. year (hold for menu)","Predchádzajúci rok (podržte pre menu)"
"Preview","Náhľad"
"Previous page","Predchádzajúca strana"
"Price:","Cena:"
"Product Name3 ","Produkt Názov3"
"Product Name3 1","Produkt Názov3 1"
"Product Name3 2","Produkt Názov3 2"
"Products","Produkty"
"Profile Information","Informácie o profile"
"Qty:","Množstvo:"
"Read details","Čítať podrobnosti"
"Reference ID","Referencie ID"
"Regular Price:","Bežná cena:"
"Remote FTP","Vzdialené FTP"
"Remove","Odstrániť"
"Required settings","Povinné nastavenie"
"Reset theme to default",""
"Resource Access","Prístup k zdrojom"
"Resources","Zdroje"
"Return URL: ",""
"Role Users","Užívateľské Role"
"Roles","Role"
"Roles Resources","Zdroje Role"
"SKU:","SKU:"
"SORT BY:","ZORADIŤ PODĽA:"
"Save","Uložiť"
"Save As","Uložiť ako"
"Save Theme","Uložiť tému"
"Screens:",""
"Select All","Vybrať všetko"
"Select Date","Vybrať dátum"
"Select Range","Vybrať rozsah"
"Select Visible","Vybrať viditeľné"
"Select date","Vybrať dátum"
"Shipment Comments","Komentár k zásielke"
"Shipment History","História zásielky"
"Shipping Address","Dodacia adresa"
"Shipping address selection is not applicable","Zvolená adresa doručenia nie je použiteľná"
"Shipping method selection is not applicable","Zvolený spôsob doručenia nie je použiteľný"
"Show By","Ukázať"
"Show Report For","Ukázať report pre"
"Show confirmation page: ",""
"Silent Post URL:",""
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Niektoré z položiek v tejto objednávke majú rozdielnu faktúru a spôsob doručenia. Zásielku môžete vyrobiť až po vystavení faktúry."
"Sort Order","Poradie objednávok"
"Special Price:","Akciová cena:"
"Spreadsheet Name:","Meno zošitu:"
"Start Date","Dátum začatia"
"Start/Reset Validation...","Spustiť/obnoviť Overovanie..."
"Starting profile execution, please wait...",""
"State/Province:","Kraj/Región:"
"Status","Stav"
"Status:","Stav:"
"Stock Quantity:","Množstvo na sklade:"
"Store:","Obchod:"
"Switch/Solo card issue number: %s","Prepínač/ číslo karty Solo: %s"
"Switch/Solo card start Date: %s/%s","Prepínač/počiatočný dátum Solo karty: %s/%s"
"Switch/Solo/Maestro Only","Len Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Prepínač/Solo/Maestro(iba pre občanov UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Prepínač/Solo/Maestro(občan UK) číslo karty: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Prepínač/Solo/Maestro(občan UK) dátum začiatku platnosti: %s/%s"
"Synchronization is required.","Je vyžadovaná synchronizácia."
"System busy","Systém je zaneprázdnený"
"T-Shirts","Trička"
"Target","Cieľ"
"Tell a Friend",""
"The card has failed verification with the issuer bank.","Zlyhalo overenie karty u jej vydavateľa."
"The information in this tab has been changed.","Informácie v tejto záložke boli zmenené."
"Theme configurations are successfully reset.","Konfigurácia témy bola úspešne resetovaná."
"Theme label can't be empty","Názov témy nemôže byť prázdny"
"Theme label:","Názov témy:"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Boli predložené zlé platobné informácie alebo časový limit vypršal. Prosím, skúste to znova."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Toto je len predvádzací obchod. Všetky urobené objednávky v tomto obchode nebudú platené ani vybavené."
"This is a required field.","Táto položka je povinná."
"This tab contains invalid data. Please solve the problem before saving.","Táto záložka obsahuje chybné údaje. Odstráňte ich prosím pred uložením."
"Thumbnail","Náhľad"
"Time selection:","Výber času:"
"Time:","Čas:"
"Title bar",""
"To","Do"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.",""
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.",""
"Top 5 Search Terms","5 najhľadanejších výrazov"
"Total %d records found","Celkom nájdených záznamov: %d"
"Track Order","Sledovať objednávku"
"Track this shipment","Sledovať zásielku"
"Transaction Data","Dáta transakcie"
"Transaction Details","Detaily transakcie"
"Transaction ID","ID transakcie"
"Transaction Type","Transaction Type"
"Try Magento Go for Free","Vyskúšajte Mageno Go zadarmo"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Nedá sa prihlásiť."
"Unknown Error","Neznáma chyba"
"Unknown Error.","Neznáma chyba."
"Unselect All","Odznačiť všetko"
"Unselect Visible","Odznačiť viditeľné"
"Update Preview",""
"Updated At","Aktualizované Na"
"Use Default Value","Použiť predvolenú hodnotu"
"Use Silent Post:",""
"User","Užívateľ"
"User Name","Užívateľské meno"
"User Roles","Rola užívateľa"
"User name","Užívateľské meno"
"Users","Užívatelia"
"Validation Results",""
"Value Delimiter:","Oddeľovač hodnôt:"
"Verification Failed","Overenie zlyhalo"
"Verification Successful","Overenie bolo úspešné"
"Verification cannot be processed","Overenie nebolo spracované"
"View","Zobraziť"
"View Details","Zobraziť detaily"
"View Gallery","Zobraziť galériu"
"View Statistics For","Zobraziť štatistiky pre"
"Visibility:","Viditeľnosť:"
"WS-I Compliance","WS-I Compliance"
"Warning! Empty value can cause problems with CSV format.","Upozornenie! Prázdna hodnota môže spôsobiť problémy s CSV formátom."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Pozor!rnTáto akcia odstráni tohto užívateľa zo všetkých priradených rolírnSte si istý?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Pozor!rnTáto akcia odstráni týchto užívateľov zo všetkých priradených rolírnSte si istý?"
"Warning: Please do not close the window during importing/exporting data","Pozor! Nezatvárajte okno počas importovania/exportovanie údajov"
"We detected that your JavaScript seem to be disabled.","Zistili sme, že máte vypnutý JavaScript."
"Web Services","Webové služby"
"What is this?","Čo je to?"
"Yes","Áno"
"You have %s unread message(s).","Máte %s neprečítaných správ"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Pre plnú funkčnosť tejto stránky musíte mať povolený JavaScript vo Vašom prehliadači."
"Your account has been deactivated.","Váš účet bol zablokovaný."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Nastavenie PHP Vášho servera v tejto chvíľi neumožňuje nahrať súbory väčšie ako %s. Prosím upravte hodnoty post_max_size (momentálne je %s) a upload_max_filesize (momentálne je %s) v php.ini pokiaľ chcete nahrávať väčšie súbory."
"Zip/Postal Code:","PSČ:"
"critical","kritická"
"items selected","Vybrané položky"
"major","vysoká"
"minor","nízka"
"notice","upozornení"
"of %s pages","stránok %s"
"per page","na stránku"
"to","do"
"(Absolute path or Relative to Magento install root, ex. var/export)","#~ ""(Absolútna alebo realatívna cesta k Magento koreňovej inštalácii, napr. ""#~ ""var/export)"""
"Add Author","Pridať autora"
"Comments History","História komentárov"
"Final Price","Konečná cena"
"Order Totals","Objednávka celkom"
"Price","Cena"
"Product","Produkt"
"SKU","SKU"
"You have","Máte"
"images/logo.gif","images/logo.gif"
