"%s %s cycle.","%s %s perióda."
"--Please Select--","-- Prosím vyberte --"
"Maximum Payment Failures","Maximálna platba zlyhaní"
"Maximum Trial Billing Cycles","Maximálne cykly skúšobnej fakturácie"
"Merchant ID","Id obchodníka"
"Minimum Order Total","Minimálna objednávka"
"Month","Mesiac"
"N/A","N/A"
"Name on Card","Meno na karte"
"Name on the Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"New Order Status","Nový stav objednávky"
"Number of billing periods that make up one billing cycle.","Počet zúčtovacích období, ktoré tvoria jedno zúčtovacieho obdobia."
"Overrides API URL that may be specified by a payment method.","Prepíše API adresu URL, ktorá môže špecifikovať spôsob platby."
"Password","Heslo"
"Payment ID: %s","ID platby: %s"
"Payment Method","Platobná metóda"
"Payment Methods","Platobné metódy"
"Payment Methods Section","Sekcia platobných metód"
"Payment Reference ID","Referenčné ID platby"
"Payment Services","Platobné služby"
"Payment from Applicable Countries","Platba z akceptovaných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Payment method code is not set.","Kód spôsobu platby nie je nastavený."
"Payment method code is undefined.","Kód spôsobu platby nie je definovaný."
"Payment profile is invalid:\n%s","Platobný profil je neplatný:n%s"
"Period frequency is wrong.",""
"Processor ID","ID spracovateľa"
"Purchase Order","Objednávka"
"Purchase Order Number","Číslo objednávky"
"Purchase Order Number:","Číslo objednávky:"
"Purchase Order Number: %s","Číslo objednávky: %s"
"Recurring Profile Start Date","Opakovaný profil - dátum začatia"
"Recurring profile start date has invalid format.","Opakovaný profil - dátum začatia má neplatný formát."
"Reference ID is not set.","Referenčné ID nie je nastavené."
"Repeats %s time(s).","Opakovať %s krát."
"Repeats until suspended or canceled.","Opakovanie až do pozastavenia alebo zrušenia."
"Request Card Security Code","Žiadosť o bezpečnostný kód karty"
"Saved CC","Uložené kreditné karty"
"Schedule Description","Popis plánovania"
"Schedule description must be not empty.","Popis plánovania nesmie byť prázdny."
"Send Check to","Poslať šek pre"
"Send Check to:","Poslať šek pre:"
"Severe 3D Secure Card Validation","Prísne bezpečnostné 3D overenie platobnej karty"
"Severe validation removes chargeback liability on merchant.","Prísna validácia odstraňuje vrátenie zodpovednosťi na obchodníka"
"Shipping Amount","Povolené množstvo"
"Short description of the recurring payment. By default equals to the product name.","Stručný opis opakovanej platby. V predvolenom nastavení je rovná názvu výrobku."
"Sort Order","Poradie objednávok"
"Start Date","Dátum začatia"
"Start date has invalid format.","Dátum začatia má neplatný formát."
"Start date is undefined.","Dátum začatia je nedefinované."
"Subscriber Name","Meno odberateľa"
"Switch/Solo/Maestro Issue Number","Prepínač/ číslo karty Solo"
"Switch/Solo/Maestro Only",""
"Switch/Solo/Maestro Start Date",""
"Tax Amount","Výška dane"
"Test Mode","Testovací režim"
"The date when billing for the profile begins.","Dátum, kedy začína fakturácia."
"The number of billing cycles for payment period.","Počet fakturačných cyklov za dobu splatnosti."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Počet plánovaných platieb, ktoré môžu zlyhať predtým, než je profil automaticky pozastavený."
"The payment review action is unavailable.","Akcia prehľadu platieb je nedostupná."
"Title","Nadpis"
"Trial Billing Amount","Skúšobná fakturačná čiastka"
"Trial Billing Frequency","Skúšobná frekvencia fakturácie"
"Trial Billing Period Unit","Jednotka skúšobného zúčtovacieho obdobia"
"Trial Period","Skúšobné obdobie"
"Trial billing amount is wrong.","Jednotka skúšobného zúčtovacieho obdobia je zlá."
"Trial billing period unit is wrong.","Jednotka skúšobného zúčtovacieho obdobia je zlá."
"Trial period frequency is wrong.",""
"Trial period max cycles is wrong.",""
"Two Weeks","Dva týždne"
"Unable to save Billing Agreement:","Nie je možné uložiť fakturačné podmienky"
"Unit for billing during the subscription period.","Jednotka pre fakturáciu počas upisovacieho obdobia."
"Unsupported currency code: %s.","Nepodporovaný kód meny: %s."
"Week","Týždeň"
"What is this?","Čo to je?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Či pozastaviť platobný profil keď počiatočný poplatok zlyhá, alebo ju pridať do nedoplatokov."
"Wrong %s specified.","Zle je špecifikované: %s."
"Wrong or empty billing amount specified.","Zle alebo prázdne účtovanie sumy je stanovené."
"Year","Rok"
"Zero Subtotal Checkout","Nulová celková čiastka"
"Cannot load configuration for payment method ""%s""","Nie je možné nastaviť platobnú metódu s kódom: ""%s"""
"Switch/Solo Only","Prepínač/Solo len"
"Switch/Solo Start Date","Prepínač/Solo - dátum začatia"
