"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s bol úspešné pridaný do zoznamu prianí. Pre pokračovanie v nákupe kliknite <a href=""%2$s"">tu</a>"
"%1$s has been added to your wishlist.","%1$s bol úspešné pridaný do zoznamu prianí."
"%1$s has been moved to your wishlist. Zoznam prianí","%1$s bol úspešné presunutý do zoznamu prianí." 
"%1$s has been updated in your wishlist.","%1%s boli aktualizované vo Vašom zozname prianí."
"%d product(s) have been added to shopping cart: %s.","%d produktov bolo pridaných do košíka: %s."
"%s for ""%s"".","%s pre ""%s""."
"%s's Wishlist","Zoznam prianí zákazníka %s"
"* Required Fields","* Povinne vyplnené polia"
"General Options","Všeobecné možnosti"
"Go to Wishlist","Prejsť do Zoznamu prianí"
"Helper for wishlist options rendering doesn't implement required interface.","Helper pre zobrazenie zoznamu prianí neimplementuje požadovaný interface."
"Last Added Items","Naposledy pridané položky"
"Message","Správa"
"My Wishlist","Môj Zoznam prianí"
"My Wishlist (%d item)","Môj Zoznam prianí (%d položka)"
"My Wishlist (%d items)","Môj Zoznam prianí (%d položiek)"
"My Wishlist <small>(%d)</small>","Môj Zoznam prianí <small>(%d)</small>"
"My Wishlist Link","Odkaz na Môj Zoznam prianí"
"Options Details","Možnosti podrobnosti"
"Out of stock","Vypredané"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Zadajte prosím platné e-mailové adresy, navzájom oddeľované čiarkami. Napríklad jankozak@nazov-domeny.sk, peter.minarovic@domena.sk."
"Please input a valid email address.","Zadajte prosím platnú emailovú adresu."
"Please, enter your comments...","Vložte prosím Váš komentár..."
"Product","Produkt"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produkty %s s vyžadovaným nastavením. Každý z nich môže byť pridaný do košíka iba samostatne."
"RSS Feed","RSS kanál"
"RSS link to %s's wishlist","RSS odkaz k Zoznamu prianí: %s"
"Remove Item","Odstrániť položku"
"Remove This Item","Odstrániť túto položku"
"Remove item","Odstrániť položku"
"Share Options","Možnosti zdieľania"
"Share Wishlist","Zdieľať Zoznam prianí"
"Share Your Wishlist","Zdieľať môj Zoznam prianí"
"Sharing Information","Informácie o zdieľaní"
"This product(s) is currently out of stock","Tento produkt je momentálne vypredaný"
"Unable to add the following product(s) to shopping cart: %s.","Nasledujúce produkty nemožno pridať do nákupného košíka: %s."
"Update Wishlist","Aktualizovať Zoznam prianí"
"User description","Užívateľský popis"
"View Details","Zobraziť detaily"
"View Product","Zobraziť produkt"
"What's this?","Čo je to?"
"Wishlist","Zoznam prianí"
"Wishlist Section","Sekcia Zoznamu prianí"
"Wishlist Sharing","Zdieľanie Zoznamu prianí"
"Wishlist is empty now.","Zoznam prianí je teraz prázdny."
"You have no items in your wishlist.","Vo Vašom Zozname prianí nemáte žiadne položky."
"Your Wishlist has been shared.","Zdieľanie zoznamu prianí bolo úspešné."
"Please enter your comments...","Vložte prosím Váš komentár..."
"#~ ""Product(s) %s are grouped. Each of them can be added to cart separately ""#~ ""only.""","#~ ""Produkty %s sú zoskupené. Každý z nich môže byť pridaný do košíka iba ""#~ ""samostatne."""
